class,additional O,class_name,R_group,composition,Unnamed: 5,Unnamed: 6,priority_NP,priority_RP,combined,measurement,chem,chains
?,0.0,,,BC-,,,,3.1,,NP_neg_0; RP_neg_0; NP_pos_NH3; RP_pos_NH3; NP_pos_0,C11H17O13P,2
LPI,0.0,lysophosphatidylinositol,FA,,,,10.0,7.0,,NP_neg_0; RP_neg_0; NP_pos_0,C10H18O12P,1
LPI,1.0,,,,_OH,,3.0,3.0,,NP_neg_0; RP_neg_0,C10H18O13P,1
LPI,2.0,,,,_2OH,,3.0,3.0,,NP_neg_0; RP_neg_0,C10H18O14P,1
PS,0.0,phosphatidylserine,FA,,,,10.0,10.0,,NP_pos_0; NP_neg_0; RP_neg_0; RP_pos_0,C8H12NO10P,2
PS,1.0,,,,_OH,,3.0,3.0,,NP_neg_0; NP_pos_0; RP_pos_0; RP_neg_0,C8H12NO11P,2
PS,2.0,,,,_2OH,,3.0,3.0,,NP_neg_0; NP_pos_0; RP_pos_0; RP_neg_0,C8H12NO12P,2
LPS,0.0,lysophosphatidylserine,FA,,,,10.0,10.0,,NP_pos_0; NP_neg_0; RP_neg_0; RP_pos_0,C7H13NO9P,1
LPS,1.0,,,,_OH,,,,,NP_neg_0; NP_pos_0; RP_pos_0; RP_neg_0,C7H13NO10P,1
LPS,2.0,,,,_2OH,,,,,NP_neg_0; NP_pos_0; RP_pos_0; RP_neg_0,C7H13NO11P,1
LPA,0.0,lysophosphatidic acid,FA,,,,10.0,,,NP_neg_0; NP_neg_CH2O2,C4H8O7P,1
LPA,1.0,,,,_OH,,3.0,3.0,,NP_neg_0,C4H8O8P,1
LPA,2.0,,,,_2OH,,3.0,3.0,,NP_neg_0,C4H8O9P,1
LPA O-,0.0,alkyl/alkenyl-lysophosphatidic acid,,,,O+P-,5.0,,,NP_neg_0,C4H10O6P,1
PA,0.0,phosphatidic acid,FA,,,,10.0,,,NP_neg_0; NP_neg_HCl; NP_neg_CH2O2,C5H7O8P,2
PA,1.0,,,,_OH,,3.0,3.0,,NP_neg_0,C5H7O9P,2
PA,2.0,,,,_2OH,,3.0,3.0,,NP_neg_0,C5H7O10P,2
PA O-,0.0,alkyl/alkenyl-acylphosphatidic acid,,,,O+P-,5.0,,,NP_neg_0; NP_neg_HCl,C5H9O7P,2
LBPA,0.0,bis(monoacylglycero)phosphate,FA,,,,10.0,5.0,,NP_neg_0; NP_pos_NH3; RP_neg_0,C8H13O10P,2
LBPA,1.0,,,,_OH,,3.0,3.0,,NP_neg_0; NP_pos_NH3; RP_neg_0,C8H13O11P,2
LBPA,2.0,,,,_2OH,,3.0,3.0,,NP_neg_0; NP_pos_NH3; RP_neg_0,C8H13O12P,2
?,0.0,,,BC-,,,,3.1,,NP_neg_0; NP_pos_NH3; RP_neg_0,C8H13O10P,2
?,0.0,,,diBC-,,,,3.1,,NP_neg_0; NP_pos_NH3; RP_neg_0,C8H13O10P,2
PG,0.0,phosphatidylglycerol,FA,,,,10.0,5.0,,NP_neg_0; RP_neg_0; NP_pos_NH3,C8H13O10P,2
PG,1.0,,,,_OH,,3.0,3.0,,NP_neg_0; RP_neg_0; NP_pos_NH3,C8H13O11P,2
PG,2.0,,,,_2OH,,3.0,3.0,,NP_neg_0; RP_neg_0; NP_pos_NH3,C8H13O12P,2
?,0.0,,,BC-,,,,3.1,,NP_neg_0; RP_neg_0; NP_pos_NH3,C8H13O10P,2
LPG,0.0,lysophosphatidylglycerol,FA,,,,10.0,5.0,,NP_neg_0; RP_neg_0; RP_pos_0; NP_pos_0,C7H14O9P,1
LPG,1.0,,,,_OH,,3.0,3.0,,NP_neg_0; RP_neg_0,C7H14O10P,1
LPG,2.0,,,,_2OH,,3.0,3.0,,NP_neg_0; RP_neg_0,C7H14O11P,1
?,0.0,,,BC-,,,,3.1,,NP_neg_0; RP_neg_0; RP_pos_0; NP_pos_0,C7H14O9P,1
PGP,0.0,phosphatidylglycerophosphate,FA,,,,,,,,C8H14O13P2,2
SLBPA,0.0,semilysobisphosphatidic acid,FA,,,,10.0,10.0,,NP_neg_0; RP_neg_0; NP_pos_NH3; RP_pos_NH3,C9H12O11P,3
SLBPA,1.0,,,,_OH,,3.0,3.0,,NP_neg_0; RP_neg_0; NP_pos_NH3; RP_pos_NH3,C9H12O12P,3
SLBPA,2.0,,,,_2OH,,3.0,3.0,,NP_neg_0; RP_neg_0; NP_pos_NH3; RP_pos_NH3,C9H12O13P,3
?,0.0,,,BC-,,,,3.1,,NP_neg_0; RP_neg_0; NP_pos_NH3; RP_pos_NH3,C9H12O11P,3
CAR,0.0,acylcarnitine,FA,,,,10.0,7.0,,NP_pos_0; RP_pos_0,C8H14NO4,1
CAR,1.0,,,,_OH,,10.0,7.0,,NP_pos_0; RP_pos_0,C8H14NO5,1
CAR,2.0,,,,_2OH,,3.0,3.0,,NP_pos_0; RP_pos_0,C8H14NO6,1
?,0.0,,,BC-,,,,3.1,,NP_pos_0; RP_pos_0,C8H14NO4,1
FA,0.0,fatty acid,FA,,,,7.0,10.0,,NP_neg_0; RP_neg_0,CHO2,1
FA,1.0,,,,_OH,,7.0,10.0,,NP_neg_0; RP_neg_0,CHO3,1
FA,2.0,,,,_2OH,,3.0,3.0,,NP_neg_0; RP_neg_0,CHO4,1
FA,3.0,,,,_3OH,,3.0,3.0,,NP_neg_0; RP_neg_0,CHO5,1
